year,month,CO,NO2,O3,PM10,PM2.5,PSFC,RH,SO2,TEMP,WindSpeed
2013,1,2.2720398481973425,59.41107210626187,27.490588235294116,170.39984819734343,123.05673624288426,96254.22351043641,61.07992409867173,78.4910815939279,274.1320113851993,4.369649265972601
2013,2,1.5194222689075634,39.73242647058824,37.73423319327731,111.02713235294118,79.40795168067227,96089.49115546215,65.58389705882352,49.57569327731091,277.3209978991597,4.360816776523182
2013,3,1.2381878557874766,45.23351992409868,46.461252371916515,137.0027419354839,70.75242884250476,95637.82111005692,54.59673624288424,40.41095825426945,283.73977229601513,4.609511974115021
2013,4,1.1036960784313727,41.67066666666667,54.64540196078431,112.43547058823529,56.59861764705882,95288.49699999996,53.22789215686275,28.83429411764706,287.72459803921566,4.69579495450835
2013,5,0.9922770398481975,38.94685009487666,61.33074003795067,96.29425996204935,50.916366223908916,94933.1212808349,58.31914611005693,24.526897533206835,293.85765654648947,4.113039234100713
2013,6,0.9531862745098039,34.424558823529416,62.90798039215685,81.31736274509802,46.91472549019608,94591.0748627451,62.18116666666668,19.056794117647055,297.43208823529415,4.177507049580658
2013,7,0.8194497153700189,31.156252371916512,54.6678368121442,69.34894686907022,35.66576850094877,94457.51910815941,65.76412713472486,16.338719165085394,299.4116223908918,4.279018416989914
2013,8,0.8788709677419355,32.01174573055029,58.438918406072105,75.76628083491461,39.12475332068312,94583.2818216319,63.630958254269444,19.392552182163186,299.3094022770399,4.228142086562575
2013,9,0.9904509803921571,38.86346078431373,50.75674509803922,84.58745098039213,48.488333333333344,95287.27228431373,64.29842156862745,22.434578431372557,294.1334215686274,4.0535401735434675
2013,10,1.2261005692599625,49.50569259962051,49.23707779886148,124.17304554079698,77.9776944971537,95835.67598671724,55.19973434535104,32.49560721062619,289.4211574952561,4.585459656519726
2013,11,1.4209117647058824,49.93650980392158,29.94035294117647,118.52913725490198,68.94898039215686,96003.9256372549,54.23459803921568,46.3306862745098,282.9383137254903,4.8768540086089835
2013,12,1.862874762808349,62.246110056925986,25.666261859582534,150.88976280834913,106.37695445920303,96189.0941555977,51.67585388994307,68.05558823529412,276.52438330170787,4.597136016390449
2014,1,1.7530645161290321,57.3231119544592,31.215654648956367,143.13433586337763,101.06580645161291,96203.50704933588,51.399108159392796,64.41164136622392,276.7418785578748,4.4653202535336
2014,2,1.3725000000000003,42.667521008403355,34.171491596638646,103.3949054621849,75.36216386554622,96082.35516806725,66.75085084033613,47.49214285714286,276.15955882352944,4.577285766907558
2014,3,1.204924098671727,47.29639468690703,42.42057874762809,107.66519924098671,60.8468880455408,95747.37284629981,56.153984819734355,37.10050284629982,283.88533206831124,4.3939392084160085
2014,4,1.0459705882352939,40.84561764705882,53.800774509803915,101.91342156862744,53.96292156862745,95478.01676470587,57.06861764705881,22.63187254901961,289.47646078431376,4.19277417570473
2014,5,0.9307495256166985,37.4246679316888,61.05971537001898,97.97974383301708,47.712609108159384,94952.76119544596,53.56066413662239,19.686110056925997,293.76535104364325,4.416607811492646
2014,6,0.9219803921568629,33.88686274509804,64.35693137254901,73.85736274509806,44.79550000000001,94595.10636274508,61.4119705882353,15.948813725490194,297.149656862745,3.4995502299200822
2014,7,0.8465654648956358,32.09774193548387,62.02297912713473,71.36396584440229,41.032001897533206,94562.28869070206,64.73467741935484,14.115578747628083,299.09520872865266,3.63975724846238
2014,8,0.8356831119544591,33.52672675521822,56.651024667931694,66.3701423149905,37.20228652751423,94827.82321631876,67.80346299810246,15.076053130929793,297.349990512334,3.14469800940397
2014,9,0.8861568627450981,34.200009803921574,48.9381568627451,69.25530392156861,39.512,95197.49236274509,68.19498039215686,16.07672549019608,294.36026470588223,3.5412936913233706
2014,10,1.080313092979127,44.47411764705882,51.05571157495256,111.9648007590133,69.55565464895636,95798.30283681214,58.42996204933586,21.977855787476276,289.83784629981017,4.34300430095649
2014,11,1.2425882352941175,47.42707843137255,30.1723431372549,103.7653431372549,67.7097745098039,96015.22648039216,59.387696078431375,35.215333333333334,283.2696470588235,4.457463568148661
2014,12,1.3597343453510433,49.61928842504743,27.01295066413662,110.20345351043643,67.07427893738141,96397.23950664134,48.14146110056925,50.95370018975332,275.96550284629984,5.208438485566897
2015,1,1.5779411764705884,54.92787476280836,28.75592030360532,121.2813567362429,82.16575901328274,96316.62530360531,57.094127134724864,53.16076850094876,276.3701707779887,4.481891332858268
2015,2,1.2804411764705883,41.51515756302521,39.81809873949582,102.69780462184875,67.54392857142858,96038.05636554622,58.193981092436964,37.85823529411765,278.27693277310925,4.426398598718235
2015,3,1.0797628083491462,40.956385199240984,45.180123339658444,94.97574952561668,50.992741935483885,95860.12973434536,56.64120493358634,27.481413662239092,283.41529411764714,4.5513071268479655
2015,4,0.9228823529411766,38.38746078431372,59.14204901960784,88.99588235294117,45.85359803921568,95468.06717647059,54.3195,18.130058823529414,288.7287941176471,4.4782391647205415
2015,5,0.8153605313092979,33.42540796963947,66.97603415559773,78.36136622390892,39.74464895635672,94882.78854838709,56.29082542694497,15.281176470588237,293.9970018975332,4.226271544091678
2015,6,0.8116764705882354,30.466313725490203,65.31092156862745,62.56694117647057,33.736794117647065,94633.97259803925,61.685598039215684,13.111196078431373,297.23856862745095,4.121154885375816
2015,7,0.7721537001897533,30.112950664136612,67.01725806451614,63.50037950664135,34.97202087286528,94592.54026565466,63.08499051233397,11.615303605313093,298.3812808349147,3.7649003263090237
2015,8,0.7951802656546489,30.96021821631879,62.27382352941178,62.76771347248576,33.74846299810247,94803.6364231499,65.86606261859582,12.169639468690706,297.71666982922204,3.5197989225421833
