year,month,name,CO,NO2,O3,PM10,PM2.5,PSFC,RH,SO2,TEMP,WindSpeed,lat,lon
2013,1,上海,1.4496774193548385,66.44935483870968,30.580000000000002,101.11258064516129,90.14129032258064,102667.28451612902,75.9341935483871,32.90935483870967,277.89129032258074,5.256494564895372,31.200000000000017,121.53000000000009
2013,1,乌鲁木齐,1.495806451612903,35.88354838709678,48.030322580645155,79.12806451612903,57.96032258064516,89615.90387096774,39.70000000000001,16.470967741935485,268.68387096774194,9.461709617636792,43.710000000000015,87.67000000000003
2013,1,兰州,1.8483870967741935,42.59032258064516,25.941612903225806,107.68870967741938,75.61290322580645,79745.47032258063,40.42064516129033,37.440322580645166,268.1851612903226,2.4418968329024078,35.97000000000002,103.73999999999991
2013,1,北京,3.9819354838709673,90.51032258064517,11.33967741935484,235.9112903225807,183.10903225806456,102456.98741935483,55.20870967741936,115.11354838709676,266.6990322580645,2.6942775848113083,39.97000000000002,116.38000000000008
2013,1,南京,1.9596774193548387,72.44354838709675,19.823870967741932,192.85548387096773,128.50129032258064,102544.70032258065,61.95838709677419,70.26161290322581,276.17064516129034,3.4839981170397447,32.090000000000025,118.77
2013,1,南宁,1.7067741935483867,51.42354838709678,23.193225806451615,129.351935483871,104.54419354838707,100681.5406451613,66.00645161290323,30.9541935483871,285.1664516129033,4.292145858276402,22.91,108.28000000000007
2013,1,南昌,1.7754838709677419,62.15870967741935,25.934516129032257,165.0664516129032,123.11548387096774,102411.07677419353,70.14709677419357,54.10645161290322,279.74322580645156,4.243396750288947,28.67999999999998,115.92999999999995
2013,1,台北,0.32709677419354855,14.188064516129032,61.77290322580645,33.03129032258064,25.694193548387087,99712.49709677421,82.63645161290326,9.556451612903226,287.52032258064503,6.171907439565294,25.029999999999983,121.52
2013,1,合肥,1.7635483870967743,47.923870967741934,23.08677419354839,130.10612903225805,134.04,102558.53516129033,59.25774193548387,40.78354838709678,276.7032258064516,3.2108084879092984,31.830000000000013,117.28000000000009
2013,1,呼和浩特,4.3835483870967735,52.020322580645164,20.670967741935478,158.4303225806452,92.81548387096774,88692.92193548387,60.4425806451613,137.39741935483872,258.90387096774197,2.8414636727475058,40.82000000000001,111.67999999999996
2013,1,哈尔滨,2.1777419354838705,90.30967741935484,16.649999999999995,261.4125806451613,197.28290322580645,100607.19419354836,75.78161290322582,84.11645161290323,247.52322580645162,3.3050732660849342,45.710000000000015,126.65999999999994
2013,1,天津,3.835161290322582,75.63225806451612,13.039032258064516,222.80032258064517,160.02387096774194,102939.93419354838,67.45064516129032,167.1974193548387,266.6509677419355,3.754530160772307,39.09,117.13000000000008
2013,1,太原,2.773548387096775,36.711612903225806,19.22709677419355,140.581935483871,99.55129032258067,91234.63967741936,42.45903225806452,95.8567741935484,268.3019354838709,3.003416120479205,37.92999999999999,112.48
2013,1,广州,1.4793548387096775,77.1,28.63258064516129,95.98935483870967,77.55258064516129,101857.83483870969,64.24064516129035,29.72161290322581,286.38838709677424,5.66526628029131,23.200000000000006,113.26000000000009
2013,1,成都,2.0648387096774194,76.4141935483871,22.507741935483875,228.08,180.31129032258065,96097.4006451613,51.73322580645161,56.181290322580644,279.4596774193549,3.415380607388831,30.65999999999999,104.13000000000007
2013,1,拉萨,0.22741935483870968,3.801935483870968,78.11999999999998,18.149999999999995,8.353548387096776,57598.50483870968,29.106129032258064,0.12193548387096773,265.90387096774197,8.480456790847178,30.009999999999994,91.07000000000002
2013,1,昆明,2.253548387096774,58.56419354838708,28.68258064516129,128.7629032258064,61.4651612903226,80215.21322580647,76.77451612903225,42.98096774193548,280.70451612903224,6.904534496642531,25.08000000000001,102.69000000000004
2013,1,杭州,1.7990322580645157,77.88709677419355,17.691935483870967,135.40258064516127,117.95806451612903,102694.86451612903,72.65870967741934,47.533548387096765,277.6158064516129,3.8215855493382684,30.26999999999999,120.2399999999999
2013,1,武汉,2.1332258064516134,87.52129032258064,14.21774193548387,185.59806451612903,181.2493548387097,102546.52612903227,55.12225806451614,74.74645161290324,278.6177419354838,3.5781711701441723,30.59000000000001,114.25
2013,1,沈阳,3.5438709677419364,50.91645161290323,12.310967741935482,266.3064516129033,196.7854838709678,102434.60548387097,75.53419354838711,259.92677419354845,255.31612903225812,3.020189352752307,41.80999999999997,123.38000000000008
2013,1,济南,3.17258064516129,100.26612903225806,15.607096774193549,331.3541935483871,212.6896774193548,102081.39419354839,67.58709677419354,200.36419354838708,270.3441935483871,3.309689176364458,36.65,116.94999999999993
2013,1,海口,0.6345161290322582,22.750967741935487,58.728709677419346,66.79870967741935,47.15677419354839,101676.27967741937,83.44645161290323,9.549677419354836,291.92419354838705,7.260077870245861,20.019999999999992,110.30999999999996
2013,1,澳门,1.1738709677419352,45.46967741935485,54.23838709677419,78.76741935483872,60.38096774193547,101998.32709677418,71.33870967741937,21.9641935483871,288.78161290322583,7.266839082008996,22.12,113.32000000000004
2013,1,石家庄,5.509032258064515,99.67387096774196,11.357096774193552,551.0806451612904,301.1583870967742,102285.01645161289,62.19548387096775,259.08870967741933,269.475806451613,2.869581960427614,38.07000000000001,114.55999999999996
2013,1,福州,0.9990322580645162,44.22548387096774,17.56741935483871,70.06290322580645,52.314838709677424,99607.49000000002,74.56806451612903,9.408064516129034,282.90967741935475,5.867226336512774,26.13999999999999,119.28000000000009
2013,1,西宁,2.95258064516129,41.20774193548387,19.33967741935484,162.36645161290326,94.86096774193548,75592.44064516129,37.83870967741936,60.17483870967743,267.41580645161287,1.949381436111374,36.60999999999999,101.69999999999996
